day;date;public_holiday
Neujahr;2014-01-01;1
Heilige Drei Könige;2014-01-06;1
Karfreitag;2014-04-18;1
Ostermontag;2014-04-21;1
Tag der Arbeit;2014-05-01;2
Christi Himmelfahrt;2014-05-29;2
Pfingstmontag;2014-06-09;1
Fronleichnam;2014-06-19;2
Mariä Himmelfahrt;2014-08-15;1
Tag der Deutschen Einheit;2014-10-03;1
Allerheiligen;2014-11-01;1
1. Weihnachtsfeiertag;2014-12-25;2
2. Weihnachtsfeiertag;2014-12-26;1
Neujahr;2015-01-01;2
Heilige Drei Könige;2015-01-06;2
Karfreitag;2015-04-03;1
Ostermontag;2015-04-06;1
Tag der Arbeit;2015-05-01;1
Christi Himmelfahrt;2015-05-14;2
Pfingstmontag;2015-05-25;1
Fronleichnam;2015-06-04;2
Mariä Himmelfahrt;2015-08-15;1
Tag der Deutschen Einheit;2015-10-03;1
Allerheiligen;2015-11-01;1
1. Weihnachtsfeiertag;2015-12-25;1
2. Weihnachtsfeiertag;2015-12-26;1
Neujahr;2016-01-01;1
Heilige Drei Könige;2016-01-06;1
Karfreitag;2016-03-25;1
Ostermontag;2016-03-28;1
Tag der Arbeit;2016-05-01;1
Christi Himmelfahrt;2016-05-05;2
Pfingstmontag;2016-05-16;1
Fronleichnam;2016-05-26;2
Mariä Himmelfahrt;2016-08-15;1
Tag der Deutschen Einheit;2016-10-03;1
Allerheiligen;2016-11-01;2
1. Weihnachtsfeiertag;2016-12-25;1
2. Weihnachtsfeiertag;2016-12-26;1
Neujahr;2017-01-01;1
Heilige Drei Könige;2017-01-06;1
Karfreitag;2017-04-14;1
Ostermontag;2017-04-17;1
Tag der Arbeit;2017-05-01;1
Christi Himmelfahrt;2017-05-25;2
Pfingstmontag;2017-06-05;1
Fronleichnam;2017-06-15;2
Mariä Himmelfahrt;2017-08-15;2
Tag der Deutschen Einheit;2017-10-03;2
Reformationstag;2017-10-31;2
Allerheiligen;2017-11-01;1
1. Weihnachtsfeiertag;2017-12-25;1
2. Weihnachtsfeiertag;2017-12-26;2
Neujahr;2018-01-01;1
Heilige Drei Könige;2018-01-06;1
Karfreitag;2018-03-30;1
Ostermontag;2018-04-02;1
Tag der Arbeit;2018-05-01;2
Christi Himmelfahrt;2018-05-10;2
Pfingstmontag;2018-05-21;1
Fronleichnam;2018-05-31;2
Mariä Himmelfahrt;2018-08-15;1
Tag der Deutschen Einheit;2018-10-03;1
Allerheiligen;2018-11-01;2
1. Weihnachtsfeiertag;2018-12-25;2
2. Weihnachtsfeiertag;2018-12-26;1
Neujahr;2019-01-01;2
Heilige Drei Könige;2019-01-06;1
Karfreitag;2019-04-19;1
Ostermontag;2019-04-22;1
Tag der Arbeit;2019-05-01;1
Christi Himmelfahrt;2019-05-30;2
Pfingstmontag;2019-06-10;1
Fronleichnam;2019-06-20;2
Mariä Himmelfahrt;2019-08-15;2
Tag der Deutschen Einheit;2019-10-03;2
Allerheiligen;2019-11-01;1
1. Weihnachtsfeiertag;2019-12-25;1
2. Weihnachtsfeiertag;2019-12-26;2
Neujahr;2020-01-01;1
Heilige Drei Könige;2020-01-06;1
Karfreitag;2020-04-10;1
Ostermontag;2020-04-13;1
Tag der Arbeit;2020-05-01;1
Christi Himmelfahrt;2020-05-21;2
Pfingstmontag;2020-06-01;1
Fronleichnam;2020-06-11;2
Mariä Himmelfahrt;2020-08-15;1
Tag der Deutschen Einheit;2020-10-03;1
Allerheiligen;2020-11-01;1
1. Weihnachtsfeiertag;2020-12-25;1
2. Weihnachtsfeiertag;2020-12-26;1
Neujahr;2021-01-01;1
Heilige Drei Könige;2021-01-06;1
Karfreitag;2021-04-02;1
Ostermontag;2021-04-05;1
Tag der Arbeit;2021-05-01;1
Christi Himmelfahrt;2021-05-13;2
Pfingstmontag;2021-05-24;1
Fronleichnam;2021-06-03;2
Mariä Himmelfahrt;2021-08-15;1
Tag der Deutschen Einheit;2021-10-03;1
Allerheiligen;2021-11-01;1
1. Weihnachtsfeiertag;2021-12-25;1
2. Weihnachtsfeiertag;2021-12-26;1
Neujahr;2022-01-01;1
Heilige Drei Könige;2022-01-06;2
Karfreitag;2022-04-15;1
Ostermontag;2022-04-18;1
Tag der Arbeit;2022-05-01;1
Christi Himmelfahrt;2022-05-26;2
Pfingstmontag;2022-06-06;1
Fronleichnam;2022-06-16;2
Mariä Himmelfahrt;2022-08-15;1
Tag der Deutschen Einheit;2022-10-03;1
Allerheiligen;2022-11-01;2
1. Weihnachtsfeiertag;2022-12-25;1
2. Weihnachtsfeiertag;2022-12-26;1
